rank,name,score,AdmissionRate,MatriculationRate,SAT75Equiv,SAT25Equiv,GraduationRate,RetentionRate,Tuition,ExpensesPerStudent,ProfessorSalary,PercentUndergradOutOfState,PercentUndergradForeign,PercentWomen,PercentUndergrad18-24,StudentToFacultyRatio,Enrollment,FulltimeUndergradEnrollment
1,Yale University,670392.2,6.3,69.8,2376.1,2092.9,96.0,98.0,44000.0,247966.9,198450.0,81.0,13.0,49,98.0,6,12336,5470
2,Massachusetts Institute of Technology,653763.8,7.9,72.1,2356.7,2166.7,91.0,99.0,43498.0,246408.6,195282.0,80.0,12.0,37,97.0,8,11319,4476
3,California Institute of Technology,653310.1,8.8,39.2,2377.8,2263.6,92.0,97.0,41538.0,276735.2,187299.0,60.0,7.0,31,96.0,3,2209,983
4,Stanford University,598349.0,5.1,78.2,2325.7,2073.8,95.0,98.0,43245.0,201887.3,220338.0,57.0,10.0,41,76.3,10,16963,7019
5,Princeton University,565590.2,7.4,66.2,2379.0,2095.0,97.0,98.0,40170.0,154989.4,194292.0,71.0,13.0,45,99.0,6,8088,5275
6,Harvard University,560640.1,6.0,80.9,2379.2,2120.0,98.0,98.0,42292.0,134445.7,214857.0,73.0,13.0,49,76.0,8,28791,7200
7,Washington University in St Louis,555900.1,17.1,34.7,2300.5,2128.4,95.0,97.0,44841.0,158945.8,174069.0,85.0,8.0,51,90.0,8,14348,6686
8,Johns Hopkins University,555856.5,16.1,37.2,2269.4,2053.5,93.0,97.0,45470.0,169679.5,147015.0,78.0,10.0,52,76.3,9,21372,6049
9,Duke University,535607.6,11.4,47.9,2303.1,2065.9,95.0,97.0,45376.0,144293.3,182898.0,75.0,10.0,50,76.3,7,15856,6601
10,University of Chicago,531939.8,8.8,60.0,2368.8,2136.6,93.0,99.0,47514.0,128476.7,215262.0,72.0,11.0,42,98.0,6,15097,5674
11,Vanderbilt University,530935.0,13.1,41.5,2301.7,2131.9,93.0,97.0,42978.0,130176.7,175653.0,84.0,7.0,54,98.0,8,12686,6778
12,Columbia University in the City of New York,530748.1,6.9,62.2,2327.5,2081.1,95.0,96.0,49138.0,124426.8,201411.0,63.0,17.0,51,82.0,6,27589,7496
13,University of Pennsylvania,527415.3,10.4,65.2,2302.8,2053.4,96.0,97.0,45890.0,122801.0,197604.0,68.0,11.0,53,93.0,6,24806,10406
14,Dartmouth College,517668.8,11.5,51.9,2295.5,2026.0,95.0,98.0,46752.0,125754.5,170397.0,88.0,8.0,47,97.0,8,6298,4228
15,United States Air Force Academy,502590.1,16.6,80.5,2106.0,1854.0,84.0,94.0,0.0,116050.9,94797.0,81.0,1.0,22,98.0,8,3952,3952
16,United States Naval Academy,493545.0,7.9,85.2,2085.0,1770.0,89.0,97.0,0.0,94505.3,114534.0,93.0,1.0,23,99.0,9,4511,4511
17,Northwestern University,479628.5,13.1,46.3,2304.2,2076.2,93.0,97.0,45527.0,86284.4,186840.0,63.0,10.0,47,93.0,7,21554,8398
18,Brown University,474837.0,8.7,58.7,2302.6,2000.0,96.0,98.0,45612.0,73490.0,165051.0,81.0,14.0,51,97.0,9,9181,6255
19,Emory University,472545.8,26.8,28.6,2175.3,1933.9,89.0,95.0,44008.0,104315.5,154854.0,66.0,17.0,57,95.0,8,14769,7732
20,University of Michigan-Ann Arbor,469543.6,32.2,40.5,2197.0,1940.0,91.0,97.0,13142.0,62805.1,158859.0,41.0,4.0,48,95.0,12,43625,27395
